Date;rent_CH5YRetCHF_Acum;DE5YRetAcu;CH5YRetAcuCHF;ES5YRetAcu
03/04/2009;5.707210487;8.820103355;3.474112301;3.210546429
10/04/2009;5.893248878;9.046678013;3.596495371;3.455979776
17/04/2009;6.251677553;8.667506705;3.832039197;3.447345786
24/04/2009;7.07669122;8.77617918;4.380002476;4.155568723
01/05/2009;6.495911936;8.747188744;3.989664224;5.044777143
08/05/2009;4.985020861;7.749254841;2.974217965;5.365940362
15/05/2009;5.243379898;8.055067195;3.144017247;4.972496167
22/05/2009;4.825208399;7.25851347;2.872117194;3.471124159
29/05/2009;4.229978961;6.58469599;2.479040585;2.796283962
05/06/2009;4.152280664;5.820917743;2.42812213;2.094562871
12/06/2009;4.140077387;5.966369049;2.420006174;2.6440208
19/06/2009;4.713949119;7.229829786;2.803728067;3.796909662
26/06/2009;5.09033091;8.409337486;3.055003577;5.729102931
03/07/2009;5.392307279;8.78361344;3.250710079;4.365950023
10/07/2009;5.636858552;9.093075089;3.412216218;4.514768687
17/07/2009;5.411279328;8.403536806;3.264005963;4.102716457
24/07/2009;6.147008279;7.736650291;3.750081662;5.145802592
31/07/2009;7.611730612;8.356542909;4.711272463;6.049869372
07/08/2009;6.930359633;6.548264651;4.269948456;4.904083587
14/08/2009;7.784961292;8.118821442;4.834354167;5.989059433
21/08/2009;7.405148954;8.217918585;4.583354061;5.922902103
28/08/2009;7.557601561;8.44411273;4.684096915;6.137117183
04/09/2009;6.992676926;9.01325777;4.311303628;5.804883434
11/09/2009;6.439143483;9.052836832;3.941814339;6.426032827
18/09/2009;6.311898735;8.369493131;3.857941398;6.202983752
25/09/2009;6.992100336;8.399125962;4.307539996;6.393068454
02/10/2009;7.588975453;9.053206084;4.700715566;6.251373506
09/10/2009;7.544934448;8.582371968;4.671754893;6.109501723
16/10/2009;6.5632203;8.143886513;4.020767324;6.114791145
23/10/2009;6.353090582;7.997976548;3.881689632;6.181921377
30/10/2009;6.963257583;8.464958273;4.285259175;6.524043842
06/11/2009;7.364787468;8.206657148;4.550131653;6.39626626
13/11/2009;7.574764323;8.353037262;4.688963857;6.306633029
20/11/2009;7.448211447;8.805056513;4.605384909;6.145736922
27/11/2009;8.272784197;9.583638769;5.152334102;6.520239163
04/12/2009;8.418380951;8.992265632;5.248882473;6.681919585
11/12/2009;8.425258473;9.326739622;5.25339356;5.926696228
18/12/2009;9.794491513;9.94482184;6.153162183;5.052069821
25/12/2009;9.757581194;9.217849949;6.128443066;4.880771695
01/01/2010;9.378180179;8.337314823;5.8730217;4.531834821
08/01/2010;8.945239996;8.036470748;5.578592396;4.546706
15/01/2010;9.425633931;8.624191461;5.90254625;4.470926723
22/01/2010;9.973909734;9.128293867;6.266821953;2.627206485
29/01/2010;10.0855643;9.225495875;6.342413955;2.291643461
05/02/2010;10.66558405;9.784568853;6.730250463;0.6975056
12/02/2010;10.86083308;9.331147216;6.868075095;4.323823913
19/02/2010;10.65986967;8.866758795;6.730635012;4.31005209
26/02/2010;11.41214097;9.786272261;7.242799318;4.42473306
05/03/2010;11.71428471;9.468622718;7.451123085;5.50662103
12/03/2010;10.92436036;9.285702072;6.908297366;5.017922685
19/03/2010;11.07521673;9.541432031;7.01315634;4.93771943
26/03/2010;11.15881783;9.015882912;7.071960413;5.440699991
02/04/2010;10.96183425;9.362930069;6.93440118;5.303768954
09/04/2010;10.87137815;9.059342393;6.87192094;4.567889868
16/04/2010;10.96137742;9.463699576;6.934954451;4.995325212
23/04/2010;11.26951674;9.760595039;7.144171169;2.631067356
30/04/2010;11.22717213;10.43858766;7.115318699;0.175513385
07/05/2010;12.27882061;12.96214372;7.802264257;-6.892108737
14/05/2010;11.8086941;12.80450499;7.438827777;0.943092753
21/05/2010;13.06909166;13.87653529;8.299980013;0.521265299
28/05/2010;12.34089696;13.37104563;7.798610707;-2.063488751
04/06/2010;12.43705524;14.39735622;7.864519862;-6.589634845
11/06/2010;12.2558739;14.10749987;7.733022682;-5.694377524
18/06/2010;12.02187321;13.19525365;7.564056975;-6.721193347
25/06/2010;12.16081748;13.85757193;7.667282841;-6.173373146
02/07/2010;12.40537142;13.96260875;7.848217243;-7.224046527
09/07/2010;12.78256592;12.86862337;8.131957819;-6.364264844
