Date;rent_CH2Y5Y10YRetCHF_Acum;DE5YRetAcu;CHST2Y5Y10YAcu;ESST2Y5Y10YAcu
27/03/2009;1.087257196;9.476520187;1.093876169;-0.621892243
03/04/2009;1.508909039;8.820103355;1.515568164;-0.842134092
10/04/2009;1.180394869;9.046678013;1.187218963;-0.904452599
17/04/2009;1.002661444;8.667506705;1.009630788;-1.148426529
24/04/2009;0.683802121;8.77617918;0.690926319;-1.242786666
01/05/2009;1.029579095;8.747188744;1.036735552;-1.956670028
08/05/2009;2.380330849;7.749254841;2.387169831;-1.763802105
15/05/2009;2.206892124;8.055067195;2.213913673;-1.758788115
22/05/2009;2.511475233;7.25851347;2.518548396;-0.942973622
29/05/2009;3.02622833;6.58469599;3.033375509;-0.680453101
05/06/2009;2.79679536;5.820917743;2.804130296;-0.321549245
12/06/2009;2.667709074;5.966369049;2.675163079;-0.564479322
19/06/2009;2.615639966;7.229829786;2.623219049;-1.13071713
26/06/2009;2.552376404;8.409337486;2.56015193;-2.271743076
03/07/2009;2.436397688;8.78361344;2.444317422;-0.528311308
10/07/2009;2.312355923;9.093075089;2.320418801;-0.890351935
17/07/2009;2.476354072;8.403536806;2.484509544;-0.553747601
24/07/2009;2.123623326;7.736650291;2.131960376;-1.268074119
31/07/2009;1.503987525;8.356542909;1.512575672;-1.646966808
07/08/2009;1.550923726;6.548264651;1.559879327;-1.248005336
14/08/2009;1.482558056;8.118821442;1.490873144;-1.301689941
21/08/2009;1.421365802;8.217918585;1.429753471;-1.428249208
28/08/2009;1.239798736;8.44411273;1.248335241;-1.687782489
04/09/2009;1.383812434;9.01325777;1.392428448;-1.426143604
11/09/2009;1.446506249;9.052836832;1.455206271;-1.791398543
18/09/2009;1.383370384;8.369493131;1.392193899;-2.049410556
25/09/2009;1.243790883;8.399125962;1.252765695;-2.259867626
02/10/2009;1.251906365;9.053206084;1.260974861;-1.840236081
09/10/2009;0.981160435;8.582371968;0.990422239;-1.971493864
16/10/2009;1.30394535;8.143886513;1.31322553;-2.045420994
23/10/2009;1.440276766;7.997976548;1.44962367;-2.241949793
30/10/2009;1.154308691;8.464958273;1.163840609;-2.101988319
06/11/2009;1.218894594;8.206657148;1.228507702;-1.949011204
13/11/2009;1.170498355;8.353037262;1.180221991;-1.915166268
20/11/2009;1.327506673;8.805056513;1.337303699;-1.845413159
27/11/2009;0.997244008;9.583638769;1.00727157;-2.149124157
04/12/2009;1.029905668;8.992265632;1.040040038;-2.118497239
11/12/2009;0.98392266;9.326739622;0.994169745;-2.159645077
18/12/2009;-0.230082194;9.94482184;-0.220600168;-1.344017959
25/12/2009;-0.227483426;9.217849949;-0.217925432;-1.276345819
01/01/2010;-0.204158538;8.337314823;-0.194508838;-0.950616407
08/01/2010;-0.354731039;8.036470748;-0.344996812;-1.066892033
15/01/2010;-0.520180679;8.624191461;-0.510363681;-1.057588955
22/01/2010;-0.744574637;9.128293867;-0.734694548;-0.267834047
29/01/2010;-0.863850471;9.225495875;-0.853891219;-1.165333681
05/02/2010;-1.133563813;9.784568853;-1.123625802;0.30708939
12/02/2010;-1.186788238;9.331147216;-1.176768482;-1.469128909
19/02/2010;-0.903724095;8.866758795;-0.893640471;-1.263282662
26/02/2010;-1.364588526;9.786272261;-1.354432344;-0.971717207
05/03/2010;-1.509495151;9.468622718;-1.499256949;-1.60114293
12/03/2010;-1.221477722;9.285702072;-1.21122317;-1.1718903
19/03/2010;-1.351318527;9.541432031;-1.340990272;-1.241923121
26/03/2010;-1.435734642;9.015882912;-1.425333454;-1.527402578
02/04/2010;-1.239600727;9.362930069;-1.229133922;-1.241819395
09/04/2010;-1.249860425;9.059342393;-1.239314247;-0.753713003
16/04/2010;-1.559014843;9.463699576;-1.548399231;-1.266666384
23/04/2010;-1.63097898;9.760595039;-1.620309436;-0.251384488
30/04/2010;-1.272068495;10.43858766;-1.2612997;0.377950868
07/05/2010;-1.22466112;12.96214372;-1.217246588;2.822971423
14/05/2010;-1.08104415;12.80450499;-1.073583907;-0.774357569
21/05/2010;-2.302929852;13.87653529;-2.291423966;-1.269307503
28/05/2010;-2.117089883;13.37104563;-2.105464161;-0.021245845
04/06/2010;-2.268080744;14.39735622;-2.256457588;1.658914105
11/06/2010;-2.308990363;14.10749987;-2.29734771;1.11123467
18/06/2010;-2.483404424;13.19525365;-2.472012909;1.211805883
25/06/2010;-2.313076675;13.85757193;-2.301594504;1.790337628
02/07/2010;-2.152055301;13.96260875;-2.140422546;2.56281215
09/07/2010;-2.483132318;12.86862337;-2.471613757;2.172341375
16/07/2010;-2.353895376;12.6824708;-2.342320939;0.232947618
23/07/2010;-2.311371803;12.36133226;-2.299765134;0.250186015
30/07/2010;-2.369619066;12.42870197;-2.357994198;-1.175788515
06/08/2010;-2.358961057;13.33006513;-2.347297994;-1.523520129
13/08/2010;-2.528886925;14.27928284;-2.517214997;-0.184245266
20/08/2010;-2.581608066;14.43094834;-2.569995474;-0.600979963
27/08/2010;-2.526905559;14.41224584;-2.515261283;1.058166612
03/09/2010;-2.384429192;14.38878786;-2.372739252;0.180284068
10/09/2010;-2.18465204;14.21798221;-2.172555871;-0.032248378
17/09/2010;-2.006559823;13.95646848;-1.994399698;0.077289953
24/09/2010;-2.435239616;13.91785249;-2.423281467;0.362489448
01/10/2010;-2.397507483;13.59191049;-2.385521815;-0.098888108
08/10/2010;-2.358594198;14.07273901;-2.346580618;-0.396335399
15/10/2010;-2.586212871;13.78107187;-2.574230886;-0.42583877
22/10/2010;-2.514686047;12.5561448;-2.502680566;-0.614724305
29/10/2010;-2.61541619;12.3749303;-2.60340199;0.145714884
05/11/2010;-2.738146765;13.52226832;-2.726145642;3.40487357
12/11/2010;-2.631315687;13.42964093;-2.619240986;3.245712382
19/11/2010;-2.440323548;12.03072306;-2.428151137;3.640068849
26/11/2010;-2.385995298;12.65058925;-2.373823885;4.739725483
03/12/2010;-2.075480157;12.38974991;-2.06310708;3.400412456
10/12/2010;-2.134861231;11.52746617;-2.122506734;4.816115441
17/12/2010;-1.86778361;11.39878245;-1.854966878;4.844518446
24/12/2010;-1.978513333;12.19951952;-1.965792917;4.685060184
31/12/2010;-1.65070234;12.52529263;-1.63774973;5.293805801
07/01/2011;-1.852047139;12.74706148;-1.839225255;6.021606877
14/01/2011;-1.693757621;10.36912943;-1.680960025;4.511642931
21/01/2011;-1.948989266;9.336499668;-1.936269354;4.088237749
28/01/2011;-1.708279841;9.008379954;-1.695416396;4.637824963
04/02/2011;-1.792278104;8.569900732;-1.779405253;3.108732823
11/02/2011;-1.708343727;8.759880282;-1.695348178;4.196215237
18/02/2011;-1.638857411;9.079007954;-1.625813591;3.567694233
25/02/2011;-1.607481109;9.149048092;-1.594401398;3.675287055
04/03/2011;-1.53224587;7.77205399;-1.519101418;3.597540074
11/03/2011;-1.775594325;8.466586086;-1.762533578;3.181273317
18/03/2011;-1.698310206;8.646647162;-1.685241127;2.14949715
25/03/2011;-1.765609288;8.001565188;-1.752514104;2.48293467
01/04/2011;-1.580637959;7.19736587;-1.567430493;3.195910446
08/04/2011;-1.417425585;6.733522159;-1.404114155;3.209914151
15/04/2011;-1.340322006;7.31746783;-1.327046691;4.172230407
22/04/2011;-1.381767548;7.763898185;-1.368482751;4.391438037
29/04/2011;-1.533933104;7.885397809;-1.520733487;3.904504041
06/05/2011;-1.850519077;7.953574996;-1.837676381;4.229922192
13/05/2011;-1.921017645;8.714303464;-1.908201247;3.759153182
20/05/2011;-1.568008815;8.801339427;-1.555056293;5.025234862
27/05/2011;-1.608041739;9.78132472;-1.59512386;4.820631269
03/06/2011;-1.898235538;9.043062246;-1.885458085;4.107171318
10/06/2011;-2.007688216;10.14561838;-1.995018752;5.287894671
17/06/2011;-1.991956896;10.38919451;-1.979212575;5.765048276
24/06/2011;-1.964939262;11.48492198;-1.952249324;6.580041896
01/07/2011;-2.110852401;9.559688476;-2.097999965;5.008923272
08/07/2011;-2.184953786;11.45334604;-2.172111824;6.125657766
15/07/2011;-2.026809146;12.46829544;-2.018202174;8.299181132
22/07/2011;-2.298285665;11.42012943;-2.289147914;6.02569943
29/07/2011;-2.710323312;13.21998186;-2.703327253;8.148855604
05/08/2011;-2.810460935;14.57218072;-2.805497956;9.122923927
12/08/2011;-1.882879488;14.69806468;-1.877025716;4.639073637
19/08/2011;-3.021741454;15.91332123;-3.019164687;4.66265118
26/08/2011;-3.032563217;16.07543609;-3.027477706;4.473416081
02/09/2011;-2.775408335;16.8769535;-2.770183792;5.298805939
09/09/2011;-2.589311203;18.15702506;-2.583283921;5.38978028
16/09/2011;-2.356878499;17.26130971;-2.350543213;5.058251759
23/09/2011;-2.743385348;18.08623068;-2.738373808;4.810635477
30/09/2011;-2.700577647;16.33961753;-2.695508054;4.66083087
07/10/2011;-3.700851363;15.84600628;-3.693783562;4.404028018
14/10/2011;-2.98756689;14.90334211;-2.980014946;4.317836489
21/10/2011;-3.437256376;15.33947258;-3.430050633;5.169284875
28/10/2011;-3.685532923;15.27041115;-3.678632567;4.394493878
04/11/2011;-3.784920853;17.76216068;-3.777955429;6.108557205
11/11/2011;-2.925537962;17.42971153;-2.916318608;6.141476738
18/11/2011;-2.2964865;17.53797514;-2.286665318;7.632905841
25/11/2011;-3.737722574;16.24027429;-3.729724151;8.503644277
02/12/2011;-3.621776314;17.45710437;-3.615852244;5.947507727
09/12/2011;-3.767498077;17.37407479;-3.761676438;7.242898711
16/12/2011;-3.574992268;18.5749714;-3.569038491;6.03864573
23/12/2011;-2.881670339;18.21949566;-2.87560682;4.780684983
30/12/2011;-3.135320199;18.91263696;-3.132651466;4.350307299
06/01/2012;-2.539225192;18.59238955;-2.536184389;7.158650649
13/01/2012;-2.831068457;18.64720943;-2.82780321;4.564533918
20/01/2012;-3.302999014;17.57931608;-3.299896839;2.467267581
27/01/2012;-3.201631879;18.10699908;-3.198487964;1.627013976
03/02/2012;-2.976266959;17.34401764;-2.972961132;2.450282705
10/02/2012;-2.878797946;17.34418661;-2.875307214;3.344852404
17/02/2012;-3.211470444;16.98477305;-3.208177847;3.199321663
24/02/2012;-2.884452325;17.34857233;-2.881009307;2.712990274
02/03/2012;-2.825570773;17.63709165;-2.82242749;2.441246856
09/03/2012;-3.117446677;17.77139412;-3.114493586;2.639696492
16/03/2012;-2.694002892;15.89415346;-2.690815277;3.215209958
23/03/2012;-3.133645364;17.09127181;-3.13076165;4.882615116
30/03/2012;-3.132876042;17.76803857;-3.129981378;6.597173868
06/04/2012;-3.363866885;18.34805133;-3.361197294;7.689366488
13/04/2012;-3.38983031;18.61022764;-3.387206803;8.255033835
20/04/2012;-2.894171197;18.68958277;-2.890963698;7.242990313
27/04/2012;-3.171417244;18.72428088;-3.168549638;8.024825702
04/05/2012;-3.148670609;18.90655401;-3.14577553;7.973685762
11/05/2012;-3.264259677;19.28062307;-3.261491203;8.627130776
18/05/2012;-3.408338413;19.67361289;-3.405747088;9.751270832
25/05/2012;-3.672907437;19.59422743;-3.670656048;10.00032637
01/06/2012;-3.34269703;20.44898988;-3.339929784;12.83021052
08/06/2012;-3.231243793;19.62053215;-3.2283133;11.46102357
15/06/2012;-3.767902168;18.97360116;-3.765845702;13.3071402
