Date;rent_CH2Y10YRetCHF_Acum;DEST2Y10YAcu;CHST2Y10YAcu;ESST2Y10YAcu
17/04/2009;2.925830072;2.652560143;2.913986095;4.385922779
24/04/2009;2.760921524;2.917668006;2.749037215;4.537172439
01/05/2009;2.897273068;2.822830413;2.88543117;4.299137751
08/05/2009;4.224901722;3.443309058;4.213339212;4.750390249
15/05/2009;4.352861138;3.381241863;4.341357791;4.832784727
22/05/2009;3.996322;3.662101954;3.984745913;5.151916534
29/05/2009;3.855265169;3.544812294;3.84365054;5.670105189
05/06/2009;4.121402084;3.29459266;4.109861614;5.361891602
12/06/2009;4.064644528;3.173842058;4.053053612;5.128320177
19/06/2009;3.857898766;3.293205225;3.846238585;5.220010647
26/06/2009;3.765886355;3.230124755;3.754251367;5.365534026
03/07/2009;3.689072499;3.263252899;3.67741605;5.307738405
10/07/2009;3.369936673;3.064023786;3.35818064;5.256372763
17/07/2009;3.549068778;3.389162863;3.537377379;5.347311011
24/07/2009;3.107654841;3.391617882;3.095813942;4.847172544
31/07/2009;2.759926039;3.070781131;2.747986459;4.494364913
07/08/2009;2.682763115;3.059175161;2.671074619;4.347076853
14/08/2009;2.985152869;3.221902821;2.972698583;4.699334733
21/08/2009;2.795693648;3.00821022;2.783143275;4.421123737
28/08/2009;2.788462645;3.018647516;2.775915962;4.279519196
04/09/2009;2.7685799;3.298959763;2.756033416;4.979208521
11/09/2009;2.728937208;3.270024108;2.716375511;4.708825479
18/09/2009;2.837372207;3.41395067;2.824840759;4.585313209
25/09/2009;2.598281675;3.256272732;2.585704193;4.043067367
02/10/2009;2.18309815;2.970362899;2.170380111;4.531534857
09/10/2009;2.186966826;2.841916802;2.174261514;4.424557197
16/10/2009;2.555224343;2.916744467;2.542628647;4.508320022
23/10/2009;2.602354824;3.035982611;2.58977082;4.207522769
30/10/2009;2.301607975;3.02233296;2.288935194;4.555911275
06/11/2009;2.083550707;3.327357505;2.070797193;4.73358461
13/11/2009;2.255272968;3.416198856;2.242577527;4.736983347
20/11/2009;2.301943198;3.053178485;2.28927602;4.664122236
27/11/2009;1.99135521;3.051709673;1.978632413;4.5643813
04/12/2009;2.456532162;3.01499138;2.443974602;4.504901959
11/12/2009;2.422606226;3.069688993;2.410046617;4.221646406
18/12/2009;2.268847254;3.082220949;2.255189323;4.522678927
25/12/2009;2.262808407;3.436062451;2.249140056;4.579563592
01/01/2010;2.448099579;3.427918422;2.434482762;4.597335544
08/01/2010;3.010736039;3.549242893;2.997325061;4.855621832
15/01/2010;2.908110458;3.476014444;2.894665454;4.972712101
22/01/2010;2.779248899;3.38458711;2.765752546;5.075431433
29/01/2010;2.765311844;3.293622781;2.751808029;3.849823095
05/02/2010;3.091864811;3.449694693;3.078357881;4.108711824
12/02/2010;3.111722109;3.571786915;3.098225841;4.788995717
19/02/2010;3.322234286;3.73301342;3.308802472;4.899668846
26/02/2010;3.259642;3.574082528;3.246202011;4.576759493
05/03/2010;3.002586783;3.739105606;2.989073699;4.815236031
12/03/2010;2.772267716;3.615008816;2.758604652;4.812756561
19/03/2010;2.847573856;3.479645978;2.833936832;5.200689837
26/03/2010;2.895875643;3.61517143;2.882252095;5.0488722
02/04/2010;2.883901077;3.504343304;2.870273992;4.954056904
09/04/2010;2.695904245;3.649352302;2.682231709;4.99988771
16/04/2010;2.728341936;3.621794598;2.714676803;4.936917832
23/04/2010;2.683738394;3.597665278;2.670054729;4.875672212
30/04/2010;2.627483084;3.661191221;2.613770378;3.702081655
07/05/2010;2.692185735;3.559387825;2.674006458;2.323460458
14/05/2010;2.72596101;3.84336521;2.707743945;3.101800195
21/05/2010;1.598340792;3.59076315;1.584440618;3.594709808
28/05/2010;1.308227635;3.774739163;1.294104463;3.532959691
04/06/2010;1.10485919;3.622039185;1.090669557;3.459948216
11/06/2010;1.164115315;3.517911592;1.14992684;3.359529693
18/06/2010;1.217180982;3.671434104;1.202797404;3.360132596
25/06/2010;1.056801233;3.457508794;1.042369744;3.53355134
02/07/2010;0.933883833;3.197532201;0.919435557;3.859419082
09/07/2010;0.844432539;3.08684862;0.829925811;4.858611631
16/07/2010;0.91061833;2.981574365;0.89615324;5.594349135
23/07/2010;0.862301923;3.147015405;0.84779648;4.951130848
